Review
"horrible customer service hotel stay february 3rd 4th 2007my friend picked hotel monaco appealing website online package included champagne late checkout 3 free valet gift spa weekend, friend checked room hours earlier came later, pulled valet young man just stood, asked valet open said, pull bags didn__Ç_é_ offer help, got garment bag suitcase came car key room number says not valet, car park car street pull, left key working asked valet park car gets, went room fine bottle champagne oil lotion gift spa, dressed went came got bed noticed blood drops pillows sheets pillows, disgusted just unbelievable, called desk sent somebody 20 minutes later, swapped sheets left apologizing, sunday morning called desk speak management sheets aggravated rude, apparently no manager kind supervisor weekend wait monday morning, young man spoke said cover food adding person changed sheets said fresh blood rude tone, checkout 3pm package booked, 12 1:30 staff maids tried walk room opening door apologizing closing, people called saying check 12 remind package, finally packed things went downstairs check, quickly signed paper took, way took closer look room, unfortunately covered food offered charged valet, called desk ask charges lady answered snapped saying aware problem experienced monday like told earlier, life treated like hotel, not sure hotel constantly problems lucky ones stay recommend anybody know,  "
"noise airconditioner-a standard, arranged stay travel agency unfortunately warwick seattle hotel dissapointment trip, 3 night stay warwick changed 3 rooms, starting minute stay hotel personnel didn`t make feel like guest like intruder, reluctant help solve complaints, hotel right downtown 5 minutes really good restaurants like good thing, availability room offered 2nd floor window directly opening car parking level, changed room, 3 rooms loud sound coming air conditioner/ heating unbelievable hotel, hotel personnel told standard noise rooms, tried avoid using night order sleep possible watching tv loudly,  "
"bad choice, booked hotel hot wire called immediately requesting nonsmoking room king bed room away elevator/ice.the person spoke pleasant stated not guarantee requests honored make note reservation, check-in person desk rude said no special request noted reservation card andstated no king beds way reservation stuck 2 double beds, located directly accross elevator ice, nonsmoking, no elevator parking garage hotel, warwick mats garage filthy stairwells, hotel faces 4th smells urine, carpets registration elevator area need cleaning, upholstery curtains room needed cleaning andpressing sign bathroom water conservation tub facet dripped continuously, tub drain needsattention shower curtain holes, no coffee maker room, bedding did not fit bed sleeping directly mattress bedding askew, staff unfriendly short, housekeeping staff quite pleasant, stay hotel,  "
"hated inn terrible, room-service horrible staff un-welcoming, decor recently updated lacks complete look, managment staff horrible,  "
"ace grunge lives does mold mildew tiny bed metal sink cool extra instead nightsta,  "
"stay clear, internet reservation friday rang hour later add thursday booking, thursday rang let know arriving late said no problem, arrive 10.30pm hear oh n't booking tonight, n't room, total apathy not concerned, says sorrys looks reservation book sorrys apathy, finally says bb door calls authority hangs says sorry times, incompetence management employees, completely soured trip, stay away,  "
"single rooms like hospital rooms single rooms hotel sparse intentional know ugly like trapped hospital white walls sink basin room small rectangle shape.the beds hard rocks blankets rough really noisy.this overrated hotel stayed fan stype hotels,  "
"worst hotel experience booked nonsmoking room online weeks advance stay crowne plaza downtown seattle, arrival desk staff asked consider smoking room, completely unacceptable family clearly stated no not consider smoking room mainly concern infant daughter health, particular staff member went speak quietly desk staff member agreed particular room, entered room smell cigarette smoke apparent not imagine desk staff intentionally smoking room informing, days later discovered ashtray matches checked desk discover fact smoking room intentionally not kept reserved nonsmoking room, clothes belongings baby reeked cigarette smoke.in addition appalling lack concern health wishes room not serviced night stay, asked desk manager room not serviced checked housekeeping informed not disturb tag door did not disturb, not case tag inside door entire time anxiously awaiting staff garbage dirty diapers replace towels, desk manager offered pathetic compensation complimentary hotel breakfast family exposed carcinogenic cigarette fumes days not having rooms cleaned, definitely stay crowne plaza hotel,  "
"quaint not rundown son decided celebrate graduation high school trip seattle, chose inn queen anne proximity experience music project space needle funky shops eateries nearby, hotel described quaint pictures hotel website nice gave shot.upon entering hotel greeted carpet lobby filthy torn, uh-oh thought not good sign, desk overbooked paid confirmed reservations late arrival 2 weeks prior room left 2 beds, took hurriedly left things room grab quick bite, returning getting bed noticed room no a/c windows not open son double bed clean twin hairy sheets closet, not talking old fashioned wall pull-out bed-this actually tiny twin bed stuffed closet, went kitchenette leftovers fridge fridge mold did not work, went desk complain told nothing sucked tried sleep, took sheets bed used sons blanket eventually closet got stuffy jumped sons bed fan, morning experienced plumbing issues toilet shower bugs bathroom, packing looked bed make sure got discovered possessions stayed did, housekeepers did not clean beds change sheets, canceled rest stay decided leave seattle drove anacortes stayed cap sante inn- palace compared night before.i wrote manager queen anne requesting refund, received letter saying refund not given gave coupon stay, use, word quaint queen anne uses advertising not rundown.my advice anybody staying check room white glove inspection make sure working order agree stay it.by way queen anne policy reserve room charge card immediately not refund 72 hours advance cancellation, ridiculous,  "
"terrible hotel approximately 2 weeks ago april 25 2007 reservation hotel night 19 2007, wrote follow-up request reply advised reservation cancelled overbooking.i wote giving reservation number just wrote just saying sorry making no effort room nearby hotel, rhe emails brigeta operation manager, not written approximately 2 weeks stay positive left scrambe new hotel lobby inn queen anne.i practice unforgivable especially light having resevation number guarenteeing room 19 2007. point making advance reservations hotel suddenly cancel little advance notice sincerely greg scanlonsan francisco,  "
